Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2014-04-24,297.0400085449219,297.760009765625,295.9200134277344,296.3999938964844,172163,17102.5,137928.0,0.1,0.05,0.02,0.02,0.02,235.64,3885850.0,0.2
2014-04-25,292.6400146484375,293.760009765625,292.239990234375,292.79998779296875,248925,17102.5,137928.0,0.09,0.04,0.01,0.01,0.0,235.64,3885850.0,0.2
2014-04-28,293.9200134277344,294.0,291.8399963378906,293.67999267578125,173938,17102.5,137928.0,0.1,0.04,0.03,0.03,0.01,235.64,3885850.0,0.2
2014-04-29,296.5599975585937,297.20001220703125,293.44000244140625,293.760009765625,174850,17102.5,137928.0,0.09,0.05,0.03,0.03,0.0,235.64,3885850.0,0.2
2014-04-30,289.760009765625,290.5599975585937,288.9599914550781,290.5599975585937,451463,17149.6,137928.0,0.11,0.05,0.02,0.02,0.02,235.64,3885850.0,0.21
2014-05-01,288.239990234375,290.4800109863281,287.760009765625,289.2799987792969,317475,17149.6,137928.0,0.11,0.05,0.03,0.03,0.02,235.64,3930646.0,0.22
2014-05-02,289.3599853515625,291.20001220703125,288.79998779296875,290.32000732421875,230775,17149.6,138252.0,0.1,0.05,0.03,0.03,0.02,235.64,3930646.0,0.2
2014-05-05,290.0799865722656,290.0799865722656,287.67999267578125,289.1199951171875,293000,17149.6,138252.0,0.1,0.05,0.02,0.02,0.01,235.64,3930646.0,0.19
2014-05-06,290.4800109863281,292.0,289.2799987792969,289.5199890136719,205288,17149.6,138252.0,0.11,0.05,0.03,0.03,0.01,235.64,3930646.0,0.21
2014-05-07,292.0799865722656,293.6000061035156,290.239990234375,292.79998779296875,242288,17149.6,138252.0,0.1,0.05,0.03,0.03,0.03,235.64,3930646.0,0.19
2014-05-08,291.3599853515625,292.1600036621094,290.6400146484375,291.9200134277344,162938,17149.6,138252.0,0.1,0.05,0.03,0.03,0.03,235.64,3930646.0,0.19
2014-05-09,293.3599853515625,294.1600036621094,290.239990234375,291.20001220703125,194038,17149.6,138252.0,0.1,0.05,0.03,0.03,0.02,235.64,3930646.0,0.2
2014-05-12,293.1199951171875,293.760009765625,292.1600036621094,292.7200012207031,187288,17149.6,138252.0,0.1,0.05,0.03,0.03,0.02,235.64,3930646.0,0.2
2014-05-13,294.6400146484375,296.6400146484375,293.67999267578125,296.32000732421875,277738,17149.6,138252.0,0.09,0.05,0.03,0.03,0.02,235.64,3930646.0,0.19
2014-05-14,297.760009765625,298.7200012207031,297.20001220703125,297.44000244140625,321875,17149.6,138252.0,0.09,0.05,0.03,0.03,0.03,235.64,3930646.0,0.19
2014-05-15,296.9599914550781,297.2799987792969,295.44000244140625,296.32000732421875,167375,17149.6,138252.0,0.09,0.05,0.03,0.03,0.02,236.254,3930646.0,0.19
2014-05-16,296.8800048828125,298.1600036621094,296.7200012207031,297.8399963378906,196863,17149.6,138252.0,0.08,0.05,0.03,0.03,0.01,236.254,3930646.0,0.19
2014-05-19,299.3599853515625,300.1600036621094,298.6400146484375,299.0400085449219,205600,17149.6,138252.0,0.08,0.05,0.03,0.03,0.01,236.254,3930646.0,0.2
2014-05-20,298.6400146484375,300.32000732421875,297.9200134277344,300.1600036621094,168575,17149.6,138252.0,0.08,0.05,0.03,0.03,0.01,236.254,3930646.0,0.19
2014-05-21,302.1600036621094,305.44000244140625,302.0,303.8399963378906,570325,17149.6,138252.0,0.08,0.06,0.03,0.03,0.04,236.254,3930646.0,0.2
2014-05-22,304.8800048828125,305.2799987792969,303.3599853515625,304.0799865722656,429563,17149.6,138252.0,0.08,0.06,0.04,0.04,0.04,236.254,3930646.0,0.2
2014-05-23,304.79998779296875,306.1600036621094,304.3999938964844,305.44000244140625,318225,17149.6,138252.0,0.08,0.05,0.03,0.03,0.03,236.254,3930646.0,0.2
2014-05-27,304.0,305.3599853515625,303.44000244140625,305.1199951171875,144438,17149.6,138252.0,0.09,0.05,0.04,0.04,0.04,236.254,3930646.0,0.2
2014-05-28,303.9200134277344,304.0799865722656,300.7200012207031,301.44000244140625,235625,17149.6,138252.0,0.08,0.06,0.04,0.04,0.03,236.254,3930646.0,0.19
2014-05-29,301.760009765625,304.4800109863281,301.3599853515625,303.2799987792969,148700,17149.6,138252.0,0.1,0.05,0.04,0.04,0.04,236.254,3930646.0,0.2
2014-05-30,301.20001220703125,301.8399963378906,299.9200134277344,301.44000244140625,163875,17149.6,138252.0,0.1,0.05,0.04,0.04,0.05,236.254,3930646.0,0.19
2014-06-02,300.1600036621094,300.5599975585937,299.0400085449219,300.239990234375,388938,17149.6,138252.0,0.1,0.05,0.04,0.04,0.05,236.254,3930646.0,0.19
2014-06-03,299.9200134277344,301.20001220703125,299.6000061035156,301.1199951171875,145013,17149.6,138252.0,0.1,0.06,0.04,0.04,0.04,236.254,3930646.0,0.19
2014-06-04,302.79998779296875,303.760009765625,300.0,300.0799865722656,213913,17149.6,138252.0,0.1,0.06,0.04,0.04,0.04,236.254,3930646.0,0.19
2014-06-05,298.1600036621094,300.79998779296875,297.67999267578125,300.3999938964844,158550,17149.6,138252.0,0.1,0.06,0.04,0.04,0.04,236.254,3930646.0,0.19
