Date,Open,High,Low,Close,Volume,Label,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-03-27,163.22398078108128,165.91610716255943,162.3068735232257,165.3737335205078,12550000,1,0,0,0,0,36.0,160.65017700195312,5783.4063720703125,4,0.0,0.0,-1522.3671264648438,8647.680908203125,0.018225002137657542
2020-03-30,165.9653929452299,167.75028272891893,163.63812959677037,164.0128631591797,13473200,-1,0,0,0,1,36.0,160.65017700195312,5783.4063720703125,5,121.05670166015625,0.02,-1401.3104248046875,8598.689575195312,-0.005665256792874884
2020-03-31,163.40147965612073,164.60455755785074,162.27729383532184,162.68161010742188,11464800,-1,0,0,1,0,-36.0,162.68161010742188,5856.5379638671875,1,0.0,0.0,-1401.3104248046875,8598.689575195312,0.0
2020-04-01,166.38294006393812,166.85697639580874,164.32882783242476,164.9608612060547,11334700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,2,0.0,0.0,-1401.3104248046875,8516.636535644531,-0.009542505149561453
2020-04-02,166.72861533446743,167.11376049535204,165.17814951445337,166.00770568847656,5771200,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,3,0.0,0.0,-1401.3104248046875,8478.950134277344,-0.004425033428332781
2020-04-03,166.45204484350123,168.20988780563945,166.04714453667376,166.4026641845703,6570800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,4,0.0,0.0,-1401.3104248046875,8464.731628417969,-0.001676918207349165
2020-04-06,164.9213511373727,166.17554766769902,164.45720002147704,165.96815490722656,9434800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,5,0.0,0.0,-1401.3104248046875,8480.373962402344,0.001847942105082323
2020-04-07,162.9067697126933,164.34858883293293,161.67232830960776,164.23008728027344,13811400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,6,0.0,0.0,-1401.3104248046875,8542.944396972656,0.0073782636057935225
2020-04-08,163.05489627289634,164.12145545093634,162.08709843441855,163.03514099121094,10147100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,7,0.0,0.0,-1401.3104248046875,8585.962463378906,0.005035508181639781
2020-04-09,162.2352211023811,163.72642084976496,161.74144455530327,163.33140563964844,14260800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,8,0.0,0.0,-1401.3104248046875,8575.296936035156,-0.0012422052145278917
2020-04-13,162.69936101262192,163.64741854776014,161.84019470214844,161.84019470214844,8750300,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,9,0.0,0.0,-1401.3104248046875,8628.980529785156,0.0062602606242601055
2020-04-14,161.8007049560547,162.68951183499178,161.4451852182529,161.8007049560547,9019100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,10,0.0,0.0,-1401.3104248046875,8630.402160644531,0.00016475073207877777
2020-04-15,164.7238720505695,166.5014707733728,164.664621271287,166.08668518066406,10027800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,11,0.0,0.0,-1401.3104248046875,8476.106872558594,-0.017878111032825217
2020-04-16,167.15321433855777,168.20003317003568,166.9162112640715,167.97288513183594,8265400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,12,0.0,0.0,-1401.3104248046875,8408.203674316406,-0.008011130494593455
2020-04-17,167.70627432997318,168.71356764031813,165.188010916382,165.72128295898438,8612100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,13,0.0,0.0,-1401.3104248046875,8489.261352539062,0.009640308603638292
2020-04-20,166.34344968493957,167.18286079431437,165.86942840735944,167.0544891357422,6462600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,14,0.0,0.0,-1401.3104248046875,8441.265930175781,-0.00565366294782832
2020-04-21,169.78999234737086,170.00725522860668,168.65431234270866,169.157958984375,7850700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,15,0.0,0.0,-1401.3104248046875,8365.541015625,-0.008970800727895578
2020-04-22,167.85441950802877,168.2691900459851,166.61010789415977,167.4297637939453,6230200,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,16,0.0,0.0,-1401.3104248046875,8427.756042480469,0.007437059568444537
2020-04-23,167.75563001484215,168.80243382580016,167.498871649337,168.31854248046875,5968600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,17,0.0,0.0,-1401.3104248046875,8395.760009765625,-0.003796506751449158
2020-04-24,167.4988456631635,168.71353149414062,167.45935017800687,168.71353149414062,6211800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,18,0.0,0.0,-1401.3104248046875,8381.540405273438,-0.001693664954173002
2020-04-27,167.54827220724937,167.63714837483798,165.35590299353902,165.5731658935547,9039500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,19,0.0,0.0,-1401.3104248046875,8494.593566894531,0.013488351323816872
2020-04-28,166.4520773867625,167.7358994256608,166.3533160495917,167.4791259765625,9905400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,20,0.0,0.0,-1401.3104248046875,8425.97900390625,-0.008077439190932956
2020-04-29,167.41984721324698,168.14075663370903,165.86939694714135,166.6100616455078,8619600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,21,0.0,0.0,-1401.3104248046875,8457.265319824219,0.003713077839793355
2020-04-30,166.63974892999244,167.12364040193924,164.63501694055364,164.66464233398438,11606100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,22,0.0,0.0,-1401.3104248046875,8527.300415039062,0.008281056886163762
2020-05-01,165.62970420661972,166.23289358368473,164.5815425225026,166.07467651367188,10209400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,23,0.0,0.0,-1401.3104248046875,8476.539184570312,-0.005952790214734938
2020-05-04,165.6890456860911,165.8077009543143,164.62110300684807,165.29351806640625,8300900,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,24,0.0,0.0,-1401.3104248046875,8504.660888671875,0.0033175926506363584
2020-05-05,163.72127548587332,164.4134563648535,163.42462222676423,164.23545837402344,7831800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,25,0.0,0.0,-1401.3104248046875,8542.751037597656,0.004478738120706982
2020-05-06,161.40737495292342,161.8128005275992,160.24055803662918,161.5853729248047,14721500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,26,0.0,0.0,-1401.3104248046875,8638.154113769531,0.011167722874281916
2020-05-07,161.73368803889832,164.51230918902922,161.51614334992493,164.28488159179688,9164800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,27,0.0,0.0,-1401.3104248046875,8540.971801757812,-0.011250356352962787
2020-05-08,162.65331709348638,163.55314460502964,161.85234884474357,162.1490020751953,8130500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,28,0.0,0.0,-1401.3104248046875,8617.863464355469,0.00900268311175445
2020-05-11,161.83260347977262,162.38634819944554,160.29002459256606,160.88331604003906,8713500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,29,0.0,0.0,-1401.3104248046875,8663.428161621094,0.005287238241135528
2020-05-12,161.33815677761632,163.0883820691886,161.30849296510894,162.53463745117188,10057300,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,30,0.0,0.0,-1401.3104248046875,8603.980590820312,-0.0068618992033815385
2020-05-13,163.24660748312724,164.43320530938016,162.9895160654356,163.67181396484375,13305600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,31,0.0,0.0,-1401.3104248046875,8563.042236328125,-0.004758071460071012
2020-05-14,165.45172539724652,166.27244440529557,165.18473597107032,165.2737274169922,10080000,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,32,0.0,0.0,-1401.3104248046875,8505.373352050781,-0.0067346256956070105
2020-05-15,166.4207530661691,166.60863392659616,164.4727490213334,164.8485107421875,7225600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,33,0.0,0.0,-1401.3104248046875,8520.68115234375,0.0017997799343256737
2020-05-18,163.08838302038808,163.21693626760933,160.60641513286973,161.22938537597656,10074000,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,34,0.0,0.0,-1401.3104248046875,8650.969665527344,0.015290856547044429
2020-05-19,160.70529522605946,161.87211202608918,160.66573341917902,161.8325653076172,8639100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,35,0.0,0.0,-1401.3104248046875,8629.255187988281,-0.002510062845970995
2020-05-20,161.34805498090464,162.86096991583713,161.0612997366801,162.31710815429688,10927300,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,36,0.0,0.0,-1401.3104248046875,8611.811645507812,-0.002021442418894903
2020-05-21,163.0191721354721,163.5135891302917,162.45552951894123,162.72251892089844,8920000,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,37,0.0,0.0,-1401.3104248046875,8597.216857910156,-0.0016947406885367
2020-05-22,162.88072781114653,163.82999994408016,162.77195547420533,163.7014617919922,4956700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,38,0.0,0.0,-1401.3104248046875,8561.974914550781,-0.004099226987271942
2020-05-26,161.88203313928673,161.96112658752554,161.16017340051485,161.5062713623047,8098900,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,39,0.0,0.0,-1401.3104248046875,8641.001770019531,0.009229979795251086
2020-05-27,160.97226915105597,162.07977341501143,160.77450538233805,161.2095947265625,8047400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,40,0.0,0.0,-1401.3104248046875,8651.68212890625,0.001236009339076194
2020-05-28,160.15156438256466,160.75475373779057,159.85491115913376,160.61630249023438,10272600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,41,0.0,0.0,-1401.3104248046875,8673.040649414062,0.0024687130421090497
2020-05-29,160.8932029518684,162.25778374891752,160.53722207254884,161.76336669921875,14662100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,42,0.0,0.0,-1401.3104248046875,8631.746337890625,-0.004761226563169352
2020-06-01,160.49602846191968,160.83266054007146,160.07027545077187,160.6742401123047,13341400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,43,0.0,0.0,-1401.3104248046875,8670.954895019531,0.004542366700095668
2020-06-02,160.0702815594474,160.48612386735215,159.65443925154267,160.090087890625,11517100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,44,0.0,0.0,-1401.3104248046875,8691.984375,0.0024252784422333917
2020-06-03,158.59501610078266,158.74354091963446,157.36729553530876,157.9613494873047,12255700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,45,0.0,0.0,-1401.3104248046875,8768.618957519531,0.008816695844501066
2020-06-04,157.34752035782324,157.43662620209415,155.63464255078654,155.6742401123047,14038600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,46,0.0,0.0,-1401.3104248046875,8850.954895019531,0.00938984096570783
2020-06-05,153.08014996861078,154.61481589370104,151.64450059654757,154.5653076171875,17778500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,47,0.0,0.0,-1401.3104248046875,8890.87646484375,0.0045104251798506745
2020-06-08,153.5356062796863,155.29799216250274,153.51579994734988,155.1593780517578,10346700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,48,0.0,0.0,-1401.3104248046875,8869.489929199219,-0.0024054473964516543
2020-06-09,157.47619402107998,158.06035231089248,156.7336153147006,156.92173767089844,9095300,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,49,0.0,0.0,-1401.3104248046875,8806.044982910156,-0.007153167408217698
2020-06-10,157.66431528975957,159.30787799994596,157.47619293485934,159.24847412109375,13135500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,50,0.0,0.0,-1401.3104248046875,8722.282470703125,-0.009511933265113792
2020-06-11,161.63465182625018,162.60495055955485,161.02079152058047,162.2584228515625,17086400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,51,0.0,0.0,-1401.3104248046875,8613.92431640625,-0.012423142068699766
2020-06-12,160.80297344496674,162.04060482403125,160.44653500348397,160.69406127929688,9716100,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,52,0.0,0.0,-1401.3104248046875,8670.241333007812,0.006537904738064704
2020-06-15,162.26831491331916,162.59505139048665,160.53563108785173,160.7831573486328,7759800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,53,0.0,0.0,-1401.3104248046875,8667.033874511719,-0.00036993877942970155
2020-06-16,157.8326529840401,159.63463635708828,157.12967173624045,158.3177947998047,13698900,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,54,0.0,0.0,-1401.3104248046875,8755.786926269531,0.010240302858261607
2020-06-17,158.68414387718792,159.1791964124316,157.7633383055764,158.9712677001953,7113900,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,55,0.0,0.0,-1401.3104248046875,8732.261901855469,-0.002686797270440855
2020-06-18,160.43660989230065,160.87225851590247,160.01087198783748,160.65443420410156,7691400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,56,0.0,0.0,-1401.3104248046875,8671.667907714844,-0.006939094912825516
2020-06-19,159.40691194300226,160.89206950768863,159.31780611499406,160.7831573486328,8565500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,57,0.0,0.0,-1401.3104248046875,8667.033874511719,-0.0005343877616671433
2020-06-22,161.57524397981777,161.8029639089524,160.46633116893187,160.80296325683594,9319700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,58,0.0,0.0,-1401.3104248046875,8666.320861816406,-8.226720994009007e-05
2020-06-23,159.88214535759616,160.4564080496563,159.52570696624167,159.7039337158203,9088600,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,59,0.0,0.0,-1401.3104248046875,8705.885925292969,0.004565381793199652
2020-06-24,159.9316516543432,161.47621296189035,159.92175604363422,161.41680908203125,11436500,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,60,0.0,0.0,-1401.3104248046875,8644.222412109375,-0.0070829682025174145
2020-06-25,162.5851681712824,162.72378228357294,161.78317033466726,161.88218688964844,10968000,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,61,0.0,0.0,-1401.3104248046875,8627.468811035156,-0.0019381270258328476
2020-06-26,162.62473272880518,163.6841522424669,162.55541813282264,163.61483764648438,12119300,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,62,0.0,0.0,-1401.3104248046875,8565.093383789062,-0.00722986412495763
2020-06-29,163.21882898679087,163.63467130874264,162.7534783891248,163.10000610351562,7274400,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,63,0.0,0.0,-1401.3104248046875,8583.627319335938,0.0021638918242214977
2020-06-30,163.59506201937853,163.65446590833912,161.86237808827198,162.30792236328125,14841700,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,64,0.0,0.0,-1401.3104248046875,8612.142333984375,0.0033220238469817698
2020-07-01,161.38801816331588,162.1314676777041,160.73377896052963,161.99269104003906,13181000,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,65,0.0,0.0,-1401.3104248046875,8623.490661621094,0.0013177125036516468
2020-07-02,161.2789829290494,162.3099080889059,160.8230090174171,162.1612091064453,7599800,-1,0,0,0,0,-36.0,162.68161010742188,5856.5379638671875,66,0.0,0.0,-1401.3104248046875,8617.424011230469,-0.0007035028654491793
