Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-03-24,39.84000015258789,0,40.47999954223633,40.560001373291016,38.31999969482422,10639513,0,0,0,0,0.0,39.84000015258789,0.0,0,0.0,0.0,10113.600437164305,20113.600437164303,0.0
2020-03-25,40.63999938964844,-1,39.119998931884766,41.27999877929688,38.0,12344863,0,0,1,0,-346.0,40.63999938964844,14061.43978881836,1,0.0,0.0,10113.600437164305,20113.600437164303,0.0
2020-03-26,38.63999938964844,-1,39.20000076293945,39.68000030517578,37.119998931884766,15703500,0,0,0,0,-346.0,40.63999938964844,14061.43978881836,2,0.0,0.0,10113.600437164305,20805.600437164303,0.034404581226610054
2020-03-27,35.7599983215332,-1,36.08000183105469,36.2400016784668,34.63999938964844,15312050,0,0,0,0,-346.0,40.63999938964844,14061.43978881836,3,0.0,0.0,10113.600437164305,21802.080806732174,0.04789481431104936
2020-03-30,33.84000015258789,1,33.68000030517578,34.2400016784668,32.2400016784668,20541175,0,1,0,0,-346.0,40.63999938964844,14061.43978881836,4,2352.799736022949,0.17,12466.400173187254,22466.400173187252,0.030470457033162868
2020-03-31,33.68000030517578,1,34.959999084472656,34.959999084472656,33.279998779296875,15639525,1,0,0,0,466.0,33.68000030517578,15694.880142211914,1,0.0,0.0,12466.400173187254,22466.400173187252,0.0
2020-04-01,35.040000915527344,1,33.91999816894531,35.040000915527344,33.040000915527344,14878650,0,0,0,0,466.0,33.68000030517578,15694.880142211914,2,0.0,0.0,12466.400173187254,23100.16045761108,0.028209249347396437
2020-04-02,40.880001068115234,1,36.63999938964844,45.36000061035156,36.0,40226725,0,0,0,0,466.0,33.68000030517578,15694.880142211914,3,0.0,0.0,12466.400173187254,25821.600528717037,0.11781044015256148
2020-04-03,47.20000076293945,-1,45.59999847412109,48.15999984741211,43.52000045776367,28238825,0,0,0,1,466.0,33.68000030517578,15694.880142211914,4,6300.320213317871,0.4,18766.720386505127,28766.720386505123,0.1140564410216447
2020-04-06,43.84000015258789,0,44.959999084472656,45.68000030517578,42.959999084472656,20350275,0,0,0,0,0.0,43.84000015258789,0.0,0,0.0,0.0,18766.720386505127,28766.720386505123,0.0
2020-04-07,40.720001220703125,0,43.68000030517578,44.2400016784668,39.119998931884766,23432475,0,0,0,0,0.0,40.720001220703125,0.0,0,0.0,0.0,18766.720386505127,28766.720386505123,0.0
2020-04-08,42.959999084472656,-1,40.63999938964844,43.20000076293945,39.52000045776367,21113950,0,0,1,0,-468.0,42.959999084472656,20105.279571533203,1,0.0,0.0,18766.720386505127,28766.720386505123,0.0
2020-04-09,39.84000015258789,0,43.20000076293945,46.2400016784668,38.400001525878906,37976150,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,2,0.0,0.0,18766.720386505127,30226.879886627194,0.05075863638619893
2020-04-13,39.43999862670898,-1,39.7599983215332,40.560001373291016,38.79999923706055,15693888,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,3,0.0,0.0,18766.720386505127,30414.080600738525,0.006193186819594798
2020-04-14,37.27999877929688,-1,38.08000183105469,38.400001525878906,36.2400016784668,23984000,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,4,0.0,0.0,18766.720386505127,31424.960529327385,0.03323723448554006
2020-04-15,35.439998626708984,-1,35.439998626708984,35.7599983215332,34.400001525878906,27402750,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,5,0.0,0.0,18766.720386505127,32286.08060073852,0.027402423325480152
2020-04-16,34.880001068115234,-1,35.20000076293945,35.279998779296875,33.20000076293945,30161238,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,6,0.0,0.0,18766.720386505127,32548.159458160397,0.00811739463401695
2020-04-17,33.68000030517578,-1,33.20000076293945,34.08000183105469,32.79999923706055,31270575,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,7,0.0,0.0,18766.720386505127,33109.759815216064,0.017254442844228723
2020-04-20,30.0,-1,30.07999992370605,32.400001525878906,29.600000381469727,109403825,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,8,0.0,0.0,18766.720386505127,34831.99995803833,0.05201608687088055
2020-04-21,22.479999542236328,-1,25.520000457763672,27.200000762939453,18.479999542236328,124913013,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,9,0.0,0.0,18766.720386505127,38351.36017227173,0.10103813213347279
2020-04-22,20.07999992370605,0,23.200000762939453,23.520000457763672,20.0,54851775,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,10,0.0,0.0,18766.720386505127,39474.5599937439,0.029287092202905818
2020-04-23,21.1200008392334,0,21.440000534057617,22.959999084472656,20.799999237060547,39783688,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,11,0.0,0.0,18766.720386505127,38987.8395652771,-0.012329977295350125
2020-04-24,20.559999465942383,0,21.520000457763672,21.84000015258789,20.07999992370605,22803900,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,12,0.0,0.0,18766.720386505127,39249.920207977295,0.006722112474619069
2020-04-27,17.520000457763672,0,18.39999961853028,18.39999961853028,17.040000915527344,33885000,0,0,0,0,-468.0,42.959999084472656,20105.279571533203,13,0.0,0.0,18766.720386505127,40672.63974380493,0.036247705174658584
2020-04-28,17.040000915527344,1,17.280000686645508,18.0,16.8799991607666,19476850,0,1,0,0,-468.0,42.959999084472656,20105.279571533203,14,12130.559143066406,0.6,30897.279529571533,40897.27952957153,0.005523117928454946
2020-04-29,18.0,1,18.010000228881836,18.21999931335449,17.459999084472656,23378600,1,0,0,0,1590.0,18.0,28620.0,1,0.0,0.0,30897.279529571533,40897.27952957153,0.0
2020-04-30,19.1200008392334,1,18.76000022888184,19.299999237060547,17.860000610351562,24001300,0,0,0,0,1590.0,18.0,28620.0,2,0.0,0.0,30897.279529571533,42678.08086395264,0.043543271211804235
2020-05-01,18.86000061035156,1,19.1200008392334,19.18000030517578,18.420000076293945,13831100,0,0,0,0,1590.0,18.0,28620.0,3,0.0,0.0,30897.279529571533,42264.68050003051,-0.009686479699964612
2020-05-04,19.670000076293945,1,18.57999992370605,19.68000030517578,18.36000061035156,14044800,0,0,0,0,1590.0,18.0,28620.0,4,0.0,0.0,30897.279529571533,43552.579650878906,0.030472232029471247
2020-05-05,21.51000022888184,0,20.76000022888184,21.790000915527344,20.739999771118164,20954800,0,0,0,0,1590.0,18.0,28620.0,5,0.0,0.0,30897.279529571533,46478.17989349366,0.06717398294352739
2020-05-06,20.850000381469727,0,21.290000915527344,21.51000022888184,20.299999237060547,17295800,0,0,0,0,1590.0,18.0,28620.0,6,0.0,0.0,30897.279529571533,45428.7801361084,-0.022578331591082024
2020-05-07,20.46999931335449,0,21.8799991607666,21.90999984741211,20.270000457763672,12745400,0,0,0,0,1590.0,18.0,28620.0,7,0.0,0.0,30897.279529571533,44824.57843780517,-0.013299976281401116
2020-05-08,21.46999931335449,0,21.07999992370605,21.670000076293945,20.65999984741211,10523500,0,0,0,0,1590.0,18.0,28620.0,8,0.0,0.0,30897.279529571533,46414.57843780517,0.03547161078617056
2020-05-11,21.170000076293945,0,21.530000686645508,21.600000381469727,20.76000022888184,10461600,0,0,0,0,1590.0,18.0,28620.0,9,0.0,0.0,30897.279529571533,45937.579650878906,-0.010276917360467541
2020-05-12,20.96999931335449,1,21.39999961853028,21.56999969482422,20.88999938964844,10138500,0,0,0,0,1590.0,18.0,28620.0,10,0.0,0.0,30897.279529571533,45619.57843780517,-0.006922463383802868
2020-05-13,20.600000381469727,1,21.049999237060547,21.309999465942383,20.299999237060547,10082900,0,0,0,0,1590.0,18.0,28620.0,11,0.0,0.0,30897.279529571533,45031.2801361084,-0.012895741737263489
2020-05-14,21.450000762939453,1,20.729999542236328,21.81999969482422,20.59000015258789,11539700,0,0,0,0,1590.0,18.0,28620.0,12,0.0,0.0,30897.279529571533,46382.780742645264,0.030012484709559972
2020-05-15,22.38999938964844,1,21.950000762939453,22.61000061035156,21.68000030517578,11525000,0,0,0,0,1590.0,18.0,28620.0,13,0.0,0.0,30897.279529571533,47877.378559112556,0.03222311798768729
2020-05-18,24.309999465942383,1,24.040000915527344,24.799999237060547,23.799999237060547,19714100,0,0,0,0,1590.0,18.0,28620.0,14,0.0,0.0,30897.279529571533,50930.17868041992,0.06376289206265073
2020-05-19,24.440000534057617,1,24.46999931335449,24.709999084472656,24.040000915527344,9373400,0,0,0,0,1590.0,18.0,28620.0,15,0.0,0.0,30897.279529571533,51136.880378723145,0.004058530789774917
2020-05-20,25.34000015258789,0,24.950000762939453,25.540000915527344,24.8799991607666,11752400,0,0,0,0,1590.0,18.0,28620.0,16,0.0,0.0,30897.279529571533,52567.87977218628,0.027983705358345157
2020-05-21,26.600000381469727,0,26.5,27.489999771118164,25.8799991607666,21259800,0,0,0,0,1590.0,18.0,28620.0,17,0.0,0.0,30897.279529571533,54571.2801361084,0.038110731735886416
2020-05-22,25.56999969482422,0,26.09000015258789,26.14999961853028,25.059999465942383,10614700,0,0,0,0,1590.0,18.0,28620.0,18,0.0,0.0,30897.279529571533,52933.57904434204,-0.030010311058888517
2020-05-26,25.65999984741211,0,25.93000030517578,25.989999771118164,25.32999992370605,12891300,0,0,0,0,1590.0,18.0,28620.0,19,0.0,0.0,30897.279529571533,53076.67928695679,0.0027033925383144197
2020-05-27,25.0,1,25.18000030517578,25.34000015258789,24.26000022888184,13839700,0,0,0,0,1590.0,18.0,28620.0,20,0.0,0.0,30897.279529571533,52027.27952957153,-0.019771390589673477
2020-05-28,25.030000686645508,1,24.84000015258789,25.57999992370605,24.549999237060547,8087000,0,0,0,0,1590.0,18.0,28620.0,21,0.0,0.0,30897.279529571533,52074.98062133789,0.0009168477036982647
2020-05-29,25.8799991607666,1,24.63999938964844,26.43000030517578,24.600000381469727,12747800,0,0,0,0,1590.0,18.0,28620.0,22,0.0,0.0,30897.279529571533,53426.47819519043,0.02595291554076473
2020-06-01,26.21999931335449,1,25.71999931335449,26.46999931335449,25.559999465942383,8201000,0,0,0,0,1590.0,18.0,28620.0,23,0.0,0.0,30897.279529571533,53967.07843780517,0.010118582786604158
2020-06-02,27.06999969482422,1,26.549999237060547,27.100000381469727,26.46999931335449,9131500,0,0,0,0,1590.0,18.0,28620.0,24,0.0,0.0,30897.279529571533,55318.57904434204,0.025043056723821344
2020-06-03,27.1200008392334,1,27.170000076293945,27.530000686645508,26.64999961853028,11428000,0,0,0,0,1590.0,18.0,28620.0,25,0.0,0.0,30897.279529571533,55398.08086395264,0.0014371630830731785
2020-06-04,27.5,1,27.07999992370605,27.6200008392334,26.809999465942383,11377000,0,0,0,0,1590.0,18.0,28620.0,26,0.0,0.0,30897.279529571533,56002.27952957153,0.010906490914418088
2020-06-05,28.8700008392334,-1,28.59000015258789,29.190000534057617,28.3700008392334,11820600,0,0,0,1,1590.0,18.0,28620.0,27,17283.301334381104,0.6,48180.58086395264,58180.58086395264,0.03889665479118354
2020-06-08,28.3700008392334,-1,28.96999931335449,29.0,28.11000061035156,14161900,0,0,1,0,-1435.0,28.3700008392334,40710.95120429993,1,0.0,0.0,48180.58086395264,58180.58086395264,0.0
2020-06-09,28.420000076293945,-1,28.06999969482422,28.549999237060547,27.68000030517578,10176400,0,0,0,0,-1435.0,28.3700008392334,40710.95120429993,2,0.0,0.0,48180.58086395264,58108.83195877075,-0.0012332105337631294
2020-06-10,28.43000030517578,-1,28.07999992370605,29.06999969482422,27.71999931335449,8303000,0,0,0,0,-1435.0,28.3700008392334,40710.95120429993,3,0.0,0.0,48180.58086395264,58094.48163032532,-0.00024695606436586637
2020-06-11,26.36000061035156,1,26.799999237060547,27.170000076293945,25.940000534057617,22801300,0,1,0,0,-1435.0,28.3700008392334,40710.95120429993,4,2884.3503284454396,0.07,51064.93119239808,61064.93119239808,0.05113135497059296
2020-06-12,26.43000030517578,1,26.63999938964844,26.809999465942383,25.850000381469727,8885100,1,0,0,0,1617.0,26.43000030517578,42737.31049346924,1,0.0,0.0,51064.93119239808,61064.93119239808,0.0
2020-06-15,26.979999542236328,0,25.46999931335449,27.06999969482422,25.36000061035156,8642100,0,0,0,0,1617.0,26.43000030517578,42737.31049346924,2,0.0,0.0,51064.93119239808,61954.27995872498,0.014563985399816737
2020-06-16,27.63999938964844,0,27.86000061035156,28.290000915527344,26.96999931335449,11803900,0,0,0,0,1617.0,26.43000030517578,42737.31049346924,3,0.0,0.0,51064.93119239808,63021.49971199037,0.017225924568510687
